Название,Рейтинг,Направления
Союз,4.5,Столовая | Кофе на вынос
Сибирские блины,3.4,Блинная | Фастфуд | Кофе на вынос
Baba Roma,3.3,Бар молочных коктейлей | Кондитерские изделия | Кондитерская
Сказка,2.7,Круглосуточный ресторан | Пельменная | Кофе на вынос
Файз,5.0,Восточная кухня | Шашлычная | Банкетный зал
Paradox coffee,5.0,Кофейня
Высоко-Высоко,4.0,Детский ресторан | Хинкальная | Кавказская кухня
Тесто,4.0,Пекарня | Кондитерские изделия | Кондитерская
Астория,5.0,Столовая | Кофе на вынос
İstanbul,3.1,Восточная кухня | Пельменная | Винный бар
South spot,2.2,Крафтовый бар | Спортбар | Бар
Bosfor,5.0,Точка по продаже шаурмы | Фастфуд | Терраса
Виктория С,2.0,Пекарня | Кофе на вынос
Безумно. Крутая шаурма,3.0,Фастфуд круглосуточно | Точка по продаже шаурмы | Детский ресторан
Тики-Така,4.5,Кофейня
Starbooks,4.0,Пиццерия | Фастфуд | Кофейня
Бакинский дворик,5.0,Банкетный зал
ФуршеТочка,5.0,Домашняя кухня | Кулинария | Кондитерские изделия
Vasabi24,4.0,Паназиатская кухня | Суши-бар | Японская кухня
Елань,4.5,Гриль-бар | Винный бар | Стейк-хаус
Палуба,1.7,Гриль-бар | Винный бар | Шашлычная
Doner master,2.0,Фастфуд круглосуточно | Точка по продаже шаурмы | Восточная кухня
Ван Куан,4.5,Лапшичная | Паназиатская кухня | Тайская кухня
Жарим сочно,5.0,Шашлычная | Фастфуд | Доставка еды
Тесто,4.0,Пекарня | Кондитерские изделия | Кондитерская
Угли и специи,5.0,Точка по продаже шаурмы | Восточная кухня | Гриль-бар
Fire Doner,4.5,Точка по продаже шаурмы | Фастфуд | Доставка фастфуда
BurgerLux,5.0,Пельменная | Шашлычная | Бургерная
К папе на`pizza,2.7,Кафе | Кафе с бельгийскими вафлями | Паназиатская кухня
Мегаполис,3.0,Кулинария | Кофе на вынос
Академик,5.0,Восточная кухня | Пиццерия | Фастфуд
Русская кухня,4.7,Столовая | Банкетный зал | Кофе на вынос
П-Пепперони,3.7,Пиццерия | Фастфуд | Доставка хот-догов
Винегрет,2.5,Столовая
Лес Чудес,2.2,Восточная кухня | Паназиатская кухня | Гриль-бар
Вкусная еда,5.0,Чебуречная | Восточная кухня | Пельменная
Жар свежар,2.5,Восточная кухня | Пекарня | Кавказская кухня
Союз,4.7,Пельменная | Столовая | Банкетный зал
Шашлычная на площади Ленина,4.5,Гриль-бар | Шашлычная | Фастфуд
Пиццерия на Комсомольском проспекте,5.0,Пиццерия | Фастфуд | Итальянская кухня
Ош,4.0,Восточная кухня | Шашлычная | Банкетный зал
Сдоба,4.3,Пекарня
Русская кухня,4.0,Столовая | Банкетный зал | Кофе на вынос
Black Matter,5.0,Бар молочных коктейлей | Панорамный ресторан | Пиццерия
Ташкент,4.3,Восточная кухня | Шашлычная | Банкетный зал
Wild coffee,3.0,Кофейня | Кофе на вынос
Уголёк,5.0,Винный бар | Панорамный ресторан | Стейк-хаус
Hansen bar,4.3,Спортбар | Бар | Дог-френдли
DaLi,4.5,Банкетный зал | Кейтеринг | Шведский стол
У фонтана,5.0,Точка по продаже шаурмы | Восточная кухня | Пельменная
А мы тут плюшками балуемся,2.0,Бар молочных коктейлей | Детский ресторан | Винный бар
Слово Плову,4.0,Восточная кухня | Фастфуд | Узбекская кухня
Lit-шаурма,4.7,Точка по продаже шаурмы | Фастфуд
Jeans cafe,4.0,Бар молочных коктейлей | Кондитерская | Кофейня
Гараж,4.7,Банкетный зал | Спортбар | Бар
Zerna,5.0,Пекарня | Кондитерские изделия | Кофе на вынос
Awesome coffee,4.3,Кофейня | Кофе на вынос
Едет кофе,4.7,Бар молочных коктейлей | Кофе на вынос
Кабинет Редкостей,5.0,Бар
Кафе Дом ученых ТНЦ СО РАН,2.0,Детский ресторан | Пельменная | Гриль-бар
Чародей,5.0,Банкетный зал | Бар | Европейская кухня
Японский домик,3.0,Паназиатская кухня | Суши-бар | Фастфуд
PanAsia,4.0,Бар молочных коктейлей | Точка по продаже шаурмы | Паназиатская кухня
Mochi house,2.0,Кондитерские изделия | Кондитерская | Доставка еды
МЯСОROOB,4.0,Точка по продаже шаурмы | Гриль-бар | Бургерная
ПхиПхи,2.9,Детский ресторан | Паназиатская кухня | Гриль-бар
Смак тайм,5.0,Бар молочных коктейлей | Пиццерия | Фастфуд
Starbooks,4.3,Пиццерия | Фастфуд | Кофейня
Форсаж,4.0,Банкетный зал | Дог-френдли
Русь,5.0,Восточная кухня | Шашлычная | Стейк-хаус
Лампочка,3.8,Доставка еды
Суши WOK,4.0,Паназиатская кухня | Фастфуд | Бар
Лесная сказка,5.0,Доставка кавказской еды | Доставка шашлыков | Доставка горячих блюд
Джезва. Кофе на песке,2.9,Точка по продаже шаурмы | Восточная кухня | Пельменная
Колобок.Ру,4.0,Столовая | Банкетный зал | Кофе на вынос
Сибирские блины,2.0,Блинная | Точка по продаже шаурмы | Паназиатская кухня
Киоск фастфуда,4.3,Точка по продаже шаурмы | Шашлычная | Фастфуд
Антонов двор,2.0,Восточная кухня | Кондитерские изделия | Кавказская кухня
Хинкали хо,3.3,Кафе | Восточная кухня
Национальный исследовательский Томский государственный университет,3.0,Точка по продаже шаурмы | Восточная кухня | Паназиатская кухня
Седая ночь,4.3,Банкетный зал
Томский базовый медицинский колледж,4.0,Столовая | Банкетный зал | Кофе на вынос
Juantxo,4.0,Кафе | Кафе с фалафелем | Винный бар
Царь Рыба,4.0,Вегетарианская кухня | Европейская кухня | Доставка еды
SushiMi,5.0,Паназиатская кухня | Японская кухня | Доставка азиатской кухни
Пекарня,4.0,Пекарня | Фастфуд
№22,5.0,Столовая | Банкетный зал | Кофе на вынос
Кафе домашней кухни на Комсомольском проспекте,2.7,Восточная кухня | Пельменная | Кулинария
Томичка,4.0,Столовая | Банкетный зал | Бизнес-ланч
Doner Walk,5.0,Точка по продаже шаурмы | Фастфуд | Авторская кухня
Rostic`s,2.4,Бар молочных коктейлей | Бургерная | Фастфуд
Торо Торо,4.5,Паназиатская кухня | Японская кухня | Доставка азиатской кухни
Doner master,5.0,Фастфуд круглосуточно | Точка по продаже шаурмы | Фастфуд
Мини-микс,3.0,Фастфуд | Кофе на вынос
Farfor,4.0,Паназиатская кухня | Японская кухня | Доставка азиатской кухни
Gussi Coffee,3.0,Кофейня
Арарат,1.8,Круглосуточный ресторан | Восточная кухня | Гриль-бар
Уютный уголок,5.0,Столовая | Банкетный зал
Йохан пивохан,1.7,Ресторан-пивоварня | Гриль-бар | Стейк-хаус
Кофе в Арке,4.0,Кофе на вынос
Kraft Roll,4.3,Паназиатская кухня | Суши-бар | Фастфуд
Шавуху Хочу,3.7,Кафе | Кафе с фалафелем | Точка по продаже шаурмы
Хлеббери,4.5,Пекарня | Кондитерские изделия | Кондитерская
Заварка,5.0,
Юпитер,4.3,Кофейня | Бизнес-ланч
Ватан,4.3,Восточная кухня | Детский ресторан | Гриль-бар
Fакел,3.0,Греческая кухня | Панорамный ресторан | Банкетный зал
Великолепный век,4.0,Восточная кухня | Гриль-бар | Шашлычная
Чишмя,5.0,Банкетный зал
Старый город,5.0,
Соляночка,4.3,Столовая | Банкетный зал | Доставка салатов
Сибмарк,2.9,Кондитерские изделия | Кондитерская
Аппетит,4.5,Пекарня | Кулинария | Кондитерские изделия
Пирога,4.0,Пекарня | Кондитерские изделия | Кавказская кухня
Бакари,5.0,Паназиатская кухня | Суши-бар | Японская кухня
Пять Звёзд,4.3,Точка по продаже шаурмы | Фастфуд | Дог-френдли
ЧебурекМи,4.0,Домашняя кухня | Чебуречная | Восточная кухня
Синий утёс,5.0,Детский ресторан | Пельменная | Винный бар
Nirvana,5.0,Банкетный зал | Пивной ресторан | Бар
Kraft Roll,4.0,Паназиатская кухня | Суши-бар | Фастфуд
Сибирские блины,2.0,Блинная | Точка по продаже шаурмы | Фастфуд
Очаг,5.0,Фастфуд круглосуточно | Точка по продаже шаурмы | Круглосуточный ресторан
На Цветаевой,5.0,Столовая | Кавказская кухня | Банкетный зал
Додо Пицца,4.3,Бар молочных коктейлей | Детский ресторан | Пиццерия
Хруст Багета,4.0,Пекарня | Кофе на вынос
Pro100вкусно,5.0,Паназиатская кухня | Японская кухня | Доставка азиатской кухни
"Medium, please!",2.6,Восточная кухня | Детский ресторан | Гриль-бар
Moments,4.0,Бар молочных коктейлей | Кофейня | Дог-френдли
Фьюжн-Градъ,2.0,Кулинария | Кейтеринг | Доставка еды
Семейное кафе,5.0,Восточная кухня | Семейный ресторан | Фастфуд
Есть вкусно,5.0,Фастфуд | Кофе на вынос
Paradox coffee,2.0,Бар молочных коктейлей | Кофейня | Дог-френдли
Чехия,2.3,Детский ресторан | Пекарня | Банкетный зал
Сушисто,2.7,Паназиатская кухня | Японская кухня | Доставка азиатской кухни
TomYumBar,4.0,Детский ресторан | Паназиатская кухня
Сенная курья,3.0,Гриль-бар | Шашлычная | Кофе на вынос
Союз,3.0,Чебуречная | Хинкальная | Гриль-бар
Хруст Багета,4.0,Пекарня | Кофе на вынос
Хруст Багета,4.0,Пекарня | Кофе на вынос
Томкейк,3.0,Кондитерские изделия | Кондитерская
Строганина,4.0,Банкетный зал для дня рождения | Банкетный зал для свадьбы | Пельменная
Русские блины,2.0,Фастфуд
Ezh coffee,3.5,Кофе на вынос
Max buuza,3.5,Домашняя кухня | Чебуречная | Фастфуд
Магия вкуса,5.0,Точка по продаже шаурмы | Чебуречная | Кондитерские изделия
Прожарка,5.0,Точка по продаже шаурмы | Гриль-бар | Бургерная
Велемир,5.0,Восточная кухня | Гриль-бар | Шашлычная
Baba Roma,5.0,Бар молочных коктейлей | Пекарня | Кулинария
Август,3.3,Банкетный зал | Wi-Fi
Bonito,3.5,Паназиатская кухня | Фреш-бар | Суши-бар
Хруст Багета,4.0,Пекарня | Кофе на вынос
Вкусно как дома,2.5,Кулинария | Доставка горячих блюд | Доставка салатов
Особняк,4.5,Винный бар | Кальянная | Бар
Сибирь,4.0,Детский ресторан | Пельменная | Гриль-бар
Мегаполис,1.5,Столовая | Банкетный зал | Кофе на вынос
Black grill,5.0,Фастфуд | Доставка еды | Дог-френдли
Сдоба,4.0,Пекарня | Фастфуд | Кофе на вынос
Настроение,4.5,Винный бар | Бар | Танцпол
Take two,5.0,Бар молочных коктейлей | Кофе на вынос
Панда,2.3,Детский ресторан | Семейный ресторан | Паназиатская кухня
Кофе Рама,5.0,Бар молочных коктейлей | Фреш-бар | Кофе на вынос
Panda Jui,3.5,Бабл ти бар | Паназиатская кухня | Пельменная
Coffee like,3.5,Бар молочных коктейлей | Кофейня | Кофе на вынос
Грузинская пекарня,3.7,Пекарня
Северский самовар,2.2,Банкетный зал
Мясной бульвар,5.0,Точка по продаже шаурмы | Восточная кухня | Шашлычная
Прожарка,3.0,Точка по продаже шаурмы | Гриль-бар | Шашлычная
Сибирские блины,3.0,Блинная | Точка по продаже шаурмы | Фастфуд
Бакенбар,2.1,Ресторан-пивоварня | Детский ресторан | Паназиатская кухня
Baba roma,3.5,Бар молочных коктейлей | Пекарня | Кулинария
Скалка,2.5,Домашняя кухня | Чебуречная | Детский ресторан
Baba Roma,5.0,Бар молочных коктейлей | Пекарня | Кулинария
Hall,1.5,Банкетный зал | Пивной ресторан | Бар
Doner master,5.0,Фастфуд круглосуточно | Точка по продаже шаурмы | Фастфуд
Tacos&tequila by el mucho,3.7,Фастфуд | Бар | Мексиканская кухня
Не Maybe bar,3.7,Бар
ЧебурекМи,2.5,Домашняя кухня | Чебуречная | Восточная кухня
Южани с огоньком,5.0,Восточная кухня | Хинкальная | Гриль-бар
Царь,5.0,Паназиатская кухня | Японская кухня | Доставка азиатской кухни
Ро,4.0,Паназиатская кухня | Японская кухня | Доставка азиатской кухни
Кафе восточной кухни на Учебной улице,2.0,Восточная кухня | Банкетный зал | Кофе на вынос
Столовая на Татарской улице,4.0,Столовая | Кофе на вынос
Шаурма house,4.5,Точка по продаже шаурмы | Фастфуд | Кофе на вынос
Doner master,4.0,Точка по продаже шаурмы | Фастфуд | Доставка еды
Градусы,5.0,Паназиатская кухня | Гриль-бар | Бургерная
Doner master,4.0,Фастфуд круглосуточно | Точка по продаже шаурмы | Фастфуд
Хачапури Марико,5.0,Кафе | Чебуречная
Вкусно — и точка,3.5,Бар молочных коктейлей | Детский ресторан | Бургерная
Император,2.3,Паназиатская кухня | Японская кухня | Доставка азиатской кухни
Coffee like,4.0,Кофейня | Кофе на вынос
Торта,5.0,Кондитерские изделия | Кондитерская | Дог-френдли
Ёлка,3.0,Бар молочных коктейлей | Бабл ти бар | Круглосуточная кофейня
У Дили,4.5,Точка по продаже шаурмы | Восточная кухня | Фастфуд
Ori,5.0,Доставка плова | Доставка кавказской еды | Доставка итальянской еды
Rostic`s,5.0,Фастфуд круглосуточно | Бар молочных коктейлей | Круглосуточный ресторан
Сибирское изобилие,4.0,Столовая | Банкетный зал | Доставка горячих блюд
Суши мания,4.0,Паназиатская кухня | Суши-бар | Японская кухня
Baba Roma,5.0,Пекарня | Кондитерские изделия | Кофе на вынос
ВилкамNet,5.0,Точка по продаже шаурмы | Фастфуд
Madam Сhoco,5.0,Пекарня | Кондитерские изделия | Кондитерская
Наша пекарня,3.3,Пекарня | Кофе на вынос
Pro Yagodu,5.0,Фастфуд
Max grill,5.0,Точка по продаже шаурмы | Фастфуд | Доставка фастфуда
Тики-Така,5.0,Бар молочных коктейлей | Кофейня | Кофе на вынос
Шашлычная на проспекте Ленина,4.0,Восточная кухня | Шашлычная | Фастфуд
Пекарня на Академическом проспекте,4.5,Пекарня
Пикколо Диаболо,5.0,Пиццерия | Фастфуд | Итальянская кухня
Кофеvарка,5.0,Бар молочных коктейлей | Кофейня | Кофе на вынос
Узбекистон,3.0,Чебуречная | Восточная кухня | Хинкальная
Каркас,2.5,Винный бар | Банкетный зал | Пивной ресторан
Фреш Ролл,5.0,Паназиатская кухня | Фреш-бар | Суши-бар
Безумно. Крутая шаурма,2.3,Фастфуд круглосуточно | Точка по продаже шаурмы | Фастфуд
Pumpkin,3.5,Кондитерские изделия | Кондитерская | Кофейня
Сибирское бистро,5.0,Бар молочных коктейлей | Точка по продаже шаурмы | Чебуречная
Баракат,3.0,Точка по продаже шаурмы | Восточная кухня | Шашлычная
Микс,5.0,Точка по продаже шаурмы | Восточная кухня | Банкетный зал
Шаурма гриль,5.0,Точка по продаже шаурмы | Фастфуд | Доставка еды
Сампо,5.0,Пекарня | Кулинария | Пиццерия
Фреш Ролл,5.0,Паназиатская кухня | Фастфуд | Японская кухня
№6,2.8,Столовая | Банкетный зал | Доставка кавказской еды
Безумно. Крутая шаурма,2.5,Фастфуд круглосуточно | Точка по продаже шаурмы | Фастфуд
На глубине 1604,4.0,Паназиатская кухня | Японская кухня | Доставка азиатской кухни
Как дома,2.3,Детский ресторан | Столовая | Банкетный зал
Lit Шаурма,4.0,Шашлычная | Фастфуд
Gangster`s Sushi,2.3,Паназиатская кухня | Вегетарианская кухня | Пивной ресторан
Яблочная,4.0,Столовая | Кофе на вынос
Chouchou,5.0,Пекарня | Кондитерские изделия | Кондитерская
Сибирские блины,4.0,Блинная | Точка по продаже шаурмы | Фастфуд
Kraft Roll,5.0,Паназиатская кухня | Суши-бар | Фастфуд
Хлебно,3.3,Пекарня | Кофе на вынос
Суши от Ксюши,5.0,Паназиатская кухня | Японская кухня | Доставка азиатской кухни
Чудо-печь,3.0,Банкетный зал для поминок | Столовая | Банкетный зал
Мир суши,3.5,Паназиатская кухня | Вегетарианская кухня | Кондитерская
Шеф,5.0,Паназиатская кухня | Японская кухня | Доставка азиатской кухни
Дуона,5.0,Пекарня | Кондитерские изделия | Кофе на вынос
Мини-шеф,4.0,Детский ресторан | Бургерная | Пиццерия
Сибирские блины,3.2,Блинная | Фастфуд
Бахарат,4.0,Точка по продаже шаурмы | Восточная кухня | Фастфуд
Кофе точка,3.0,Кофе на вынос
Суши кот,2.5,Паназиатская кухня | Японская кухня | Доставка азиатской кухни
Прожарка,2.5,Точка по продаже шаурмы | Бургерная | Фастфуд
Lit шаурма,3.3,Точка по продаже шаурмы | Фастфуд | Доставка фастфуда
Sun bar,4.0,Бар молочных коктейлей | Фреш-бар
Суши70,5.0,Круглосуточный ресторан | Паназиатская кухня | Японская кухня
Baton bakery & cafe,2.6,Кулинария | Кондитерские изделия | Кондитерская
Sushi Balls,4.0,Паназиатская кухня | Японская кухня | Доставка азиатской кухни
Эгнар,5.0,Точка по продаже шаурмы | Шашлычная | Фастфуд
Безумно. Крутая шаурма,4.0,Точка по продаже шаурмы | Фастфуд
Глобус,5.0,Банкетный зал | Доставка горячих блюд | Доставка салатов
Космонавт,3.0,Банкетный зал
Осьминог,3.3,Точка по продаже шаурмы | Паназиатская кухня | Фастфуд
Max buuza,4.0,Домашняя кухня | Чебуречная | Фастфуд
Август,3.3,Банкетный зал | Европейская кухня | Бизнес-ланч
Наша пекарня,3.0,Пекарня
СловоПлову,5.0,Точка по продаже шаурмы | Чебуречная | Восточная кухня
Турецкая шаурма №1,4.0,Фастфуд круглосуточно | Точка по продаже шаурмы | Фастфуд
Машенькины пироги,4.0,Доставка пирогов | Доставка еды
Gold Fish,4.0,Паназиатская кухня | Японская кухня | Доставка азиатской кухни
Сибирские блины,2.5,Блинная | Точка по продаже шаурмы | Фастфуд
Шенк,4.5,Паназиатская кухня | Японская кухня | Доставка азиатской кухни
SushiShark,5.0,Паназиатская кухня | Японская кухня | Доставка азиатской кухни
Суши wok,5.0,Детский ресторан | Паназиатская кухня | Суши-бар
Мидийная,4.0,Точка по продаже шаурмы | Рыбный ресторан
Вкус есть,2.5,Пиццерия | Фастфуд | Дог-френдли
V Nori,3.0,Паназиатская кухня | Японская кухня | Доставка азиатской кухни
Мойё кофе,5.0,Кофе на вынос
Донна Роза,5.0,Кондитерские изделия | Кондитерская
Золотой шампур,4.0,Восточная кухня | Шашлычная | Фастфуд
Rostic`s,5.0,Бар молочных коктейлей | Бургерная | Фастфуд
Фреш Ролл,5.0,Паназиатская кухня | Фреш-бар | Суши-бар
Rocket Coffee,4.0,Бар молочных коктейлей | Фреш-бар | Кофейня
Тамнушки,5.0,Пекарня
Milk,4.0,Кофейня
Белое озеро,3.0,Банкетный зал
Inna-bakery,4.0,Кондитерские изделия | Кондитерская | Торты на заказ
Вкусная точка,4.0,Точка по продаже шаурмы | Паназиатская кухня | Пиццерия
Большой Ребровски,5.0,Гриль-бар | Бургерная | Фастфуд
Маяк-77,5.0,
Rostic`s,2.4,Бар молочных коктейлей | Бургерная | Фастфуд
Бухара,4.0,Восточная кухня | Гриль-бар | Шашлычная
Пряный Тимьян,5.0,Винный бар | Кондитерские изделия | Стейк-хаус
Baba Roma,4.0,Бар молочных коктейлей | Пекарня | Кулинария
Джон голт,5.0,Кальянная | Кальян | Терраса
Суши мастер,2.5,Паназиатская кухня | Японская кухня | Доставка азиатской кухни
Хинкали-Дали,3.0,Кафе | Хинкальная
Со вкусом Парад Парк,2.0,Банкетный зал | Европейская кухня | Кейтеринг
Highlight Bar,4.0,Паназиатская кухня | Гриль-бар | Винный бар
Apels,4.0,Бар молочных коктейлей | Фреш-бар
Фундук,4.0,Восточная кухня | Детский ресторан | Пельменная
Elite парк,5.0,Гриль-бар | Шашлычная | Кавказская кухня
№1,4.0,Пекарня | Кофе на вынос
Мир суши,4.0,Паназиатская кухня | Вегетарианская кухня | Кондитерская
Тук-тук,3.0,Паназиатская кухня | Японская кухня | Доставка азиатской кухни
Чебурек №1,4.0,Чебуречная | Восточная кухня | Фастфуд
Black fish,4.0,Детский ресторан | Паназиатская кухня | Суши-бар
Ош,5.0,Восточная кухня | Шашлычная | Банкетный зал
Craft,4.0,Ресторан-пивоварня | Паназиатская кухня | Пельменная
Fire Doner,5.0,Точка по продаже шаурмы | Гриль-бар | Фастфуд
Наша пекарня,3.0,Пекарня | Кофе на вынос
Бууза,4.0,Доставка еды
П-Пепперони,4.0,Пиццерия | Фастфуд | Итальянская кухня
Prosto barista,3.0,
Мир суши,2.3,Паназиатская кухня | Вегетарианская кухня | Кондитерская
33 пингвина,4.0,Кафе | Кафе с бельгийскими вафлями | Бар молочных коктейлей
Пробууза,4.0,Паназиатская кухня | Суши-бар | Японская кухня
Звездный,4.0,Круглосуточный бар | Бар
Сидрерия,4.0,Ресторан-пивоварня | Пивной ресторан | Бар
Лука не жаль,2.8,Точка по продаже шаурмы | Восточная кухня | Шашлычная
Булочная на проспекте Кирова,3.0,Пекарня | Кофе на вынос
Hohoro coffee,5.0,Кофе на вынос
Тайга и Светлана,4.0,Банкетный зал
Doner master,4.0,Точка по продаже шаурмы | Фастфуд | Доставка еды
Элит ролл,4.0,Фастфуд
Хлебно,3.3,Пекарня | Кофе на вынос
Купец,2.0,Банкетный зал | Европейская кухня | Постное меню
ЗдесьВамНеТам,1.5,Детский ресторан | Паназиатская кухня | Гриль-бар
Корочка,3.0,Пекарня
Ростовская шаурма,3.0,Фастфуд круглосуточно | Точка по продаже шаурмы | Фастфуд
Maya Pizza,5.0,Пиццерия | Фастфуд | Итальянская кухня
Хлебно,3.3,Пекарня | Кофе на вынос
Хлебно,3.3,Пекарня | Кофе на вынос
Шаверма,3.5,Точка по продаже шаурмы | Гриль-бар | Фастфуд
Северский самовар,5.0,Столовая | Банкетный зал | Кофе на вынос
Край,5.0,Кофе на вынос
Лисичкин хлеб,3.5,Пекарня | Кофе на вынос
Beerfolio,3.0,Ресторан-пивоварня | Банкетный зал | Спортбар
1902,3.5,Гриль-бар | Винный бар | Стейк-хаус
Doner master,3.0,Точка по продаже шаурмы | Фастфуд | Доставка фастфуда
Sunrise sushi,5.0,Паназиатская кухня | Японская кухня | Доставка азиатской кухни
ShaurDonar`s,4.0,Кафе | Кафе с гиросом | Точка по продаже шаурмы
Едет кофе,5.0,Кофе на вынос
Форте-пьяно,2.7,Ресторан-пивоварня | Банкетный зал | Пивной ресторан
Дыхание вока,2.0,Паназиатская кухня | Фастфуд | Тайская кухня
Фреш Ролл,3.0,Паназиатская кухня | Фреш-бар | Суши-бар
Шампур,3.5,Круглосуточный ресторан | Хинкальная | Шашлычная
Территория Кофе,4.0,Бар молочных коктейлей | Фреш-бар | Кофейня
Hot Dogs,5.0,Фастфуд | Доставка хот-догов | Доставка фастфуда
Японика,5.0,Паназиатская кухня | Суши-бар | Японская кухня
Doner Walk,2.0,Точка по продаже шаурмы | Фастфуд | Дог-френдли
Rostic`s,5.0,Бар молочных коктейлей | Бургерная
Шашлычок,2.7,Шашлычная | Фастфуд
Бургер,5.0,Бургерная | Фастфуд | Доставка хот-догов
Суши мастер,2.5,Паназиатская кухня | Японская кухня | Доставка азиатской кухни
Bubble Tea,5.0,Бабл ти бар
Жарим&Варим,3.5,Столовая | Доставка кавказской еды | Доставка шашлыков
Черная акула,5.0,Доставка азиатской кухни | Доставка суши | Доставка еды
Кафе-столовая,5.0,Столовая | Бизнес-ланч
Армянский лаваш,5.0,Пекарня
Ёбидоёби,4.0,Паназиатская кухня | Японская кухня | Доставка азиатской кухни
Dolce. tort,3.0,Кондитерские изделия | Кондитерская | Кофе на вынос
Дыхание вока,3.0,Паназиатская кухня | Китайская кухня | Доставка еды
Ош,5.0,Круглосуточный ресторан | Восточная кухня | Шашлычная
Суши мания,4.0,Паназиатская кухня | Суши-бар | Японская кухня
Пекин,2.5,Паназиатская кухня | Пельменная | Китайская кухня
Я Трюфель,5.0,Кондитерские изделия
ФаСоль,5.0,Гриль-бар | Винный бар | Банкетный зал
Смарт фуд формат,4.0,Доставка горячих блюд | Доставка салатов | Доставка супов
№1,2.7,Столовая | Кофе на вынос
Кафе-столовая,2.0,Восточная кухня | Столовая | Фастфуд
Русский Аппетит,4.0,Фастфуд круглосуточно | Фастфуд | Доставка хот-догов
Lit-шаурма,4.0,Точка по продаже шаурмы | Шашлычная | Фастфуд
Барина,4.0,Бар | Терраса
Baba Roma,3.0,Пекарня | Кондитерские изделия | Кондитерская
Шаурмания,5.0,Точка по продаже шаурмы | Фастфуд
Rocket Coffee,4.0,Бар молочных коктейлей | Детский ресторан | Панорамный ресторан
Пекарня на Иркутском тракте,3.0,Пекарня | Кофе на вынос
Пекарня,5.0,Пекарня | Кондитерские изделия | Кондитерская
XO Bakery,5.0,Кофе на вынос
Мэйк лав пицца,3.0,Пиццерия | Фастфуд | Доставка фастфуда
Шашлычный дворик в Геологе,5.0,Доставка еды
Птички,2.0,Банкетный зал
Фреш Ролл,4.0,Фастфуд | Доставка еды | Кофе на вынос
Колобок.Ру,3.0,Пельменная | Кулинария | Столовая
Томский Областной Театр Юного Зрителя,3.0,Столовая | Банкетный зал
Союз,2.7,Детский ресторан | Пельменная | Гриль-бар
Сибирское бистро,3.0,Пельменная | Бургерная | Фастфуд
Дыхание вока,3.0,Лапшичная | Паназиатская кухня | Фастфуд
Chef doner kebab,3.0,Точка по продаже шаурмы | Шашлычная | Фастфуд
Гоби,5.0,Детский ресторан | Гриль-бар | Винный бар
Сидрерия,5.0,Бар | Французская кухня | Испанская кухня
Coffee like,2.0,Бар молочных коктейлей | Кофейня | Кофе на вынос
Спиритс,2.5,Винный бар | Рюмочная | Бар
Кофейро,4.0,Кофе на вынос
Sushiland_70,3.0,Паназиатская кухня | Японская кухня | Доставка азиатской кухни
Легион Фуд,2.4,Точка по продаже шаурмы | Фастфуд | Доставка горячих блюд
Кофеvарка,3.0,Бар молочных коктейлей | Кофе на вынос
Твоя булочная,3.0,Пекарня | Кондитерские изделия | Кондитерская
Шаурма гриль,3.0,Точка по продаже шаурмы | Восточная кухня | Фастфуд
Cosmo Beer,3.0,Спортбар | Пивной ресторан | Бар
Шаурмичная,5.0,Фастфуд
Пирожки и пончики,5.0,Пекарня
Give Me Two,5.0,Паназиатская кухня | Бургерная | Фастфуд
Двор культуры,5.0,Бабл ти бар | Точка по продаже шаурмы | Фастфуд
Магнолия,5.0,Точка по продаже шаурмы | Чебуречная | Восточная кухня
Jawsspot,5.0,Крафтовый бар | Бар | Дог-френдли
Лисичкин хлеб,3.5,Пекарня | Кофе на вынос
Slimgreens,3.0,Панорамный ресторан | Пиццерия | Банкетный зал
Столовая на улице Говорова,5.0,Столовая | Кофе на вынос
Фреш Ролл,3.0,Паназиатская кухня | Фреш-бар | Суши-бар
Coffee like,3.0,Бар молочных коктейлей | Кофейня | Кофе на вынос
Кофейня corner мини-кофейня,5.0,Кофе на вынос
Пять хлебов,3.5,Чебуречная | Восточная кухня | Пельменная
Мойё кофе,5.0,Кофе на вынос
Рюмка кофе,4.0,Винный бар | Бар | Дог-френдли
Наша кухня,3.0,Столовая | Кофе на вынос
Doner Time,3.0,Точка по продаже шаурмы | Восточная кухня | Фастфуд
Домовая кухня,5.0,Кулинария | Кондитерские изделия | Фастфуд
Мойё кофе,5.0,Кофе на вынос
Sova & Slon,5.0,Кофе на вынос
Rostic's Авто,2.4,Кафе | Автокафе | Бар молочных коктейлей
Время есть,3.0,Столовая | Банкетный зал | Доставка еды
Бабуся-ягуся,5.0,Фастфуд
Лотос,4.0,Точка по продаже шаурмы | Паназиатская кухня | Суши-бар
Кафе русской кухни,5.0,Восточная кухня | Пельменная | Банкетный зал
Н.Джой,2.0,Паназиатская кухня | Японская кухня | Американская кухня
Сибирские блины,2.0,Блинная | Точка по продаже шаурмы | Паназиатская кухня
Кафе восточной кухни на проспекте Ленина,5.0,Точка по продаже шаурмы | Чебуречная | Восточная кухня
Шауroom,5.0,Точка по продаже шаурмы | Фастфуд | Доставка фастфуда
Безумно. Крутая шаурма,3.0,Фастфуд круглосуточно | Точка по продаже шаурмы | Фастфуд
Хочу мясо,3.5,Точка по продаже шаурмы | Шашлычная | Фастфуд
